影片名;导演;主演;影片类型;评分;评分人数;短评数
真相;李依璠;陈星旭,盖玥希,许亚军,刘畅,温峥嵘,傅方俊,赵仁杰,赵龙豪,柳彬,吕行,王佳宇,米露,张定涵,闫汶渲,姜峰,李德龙,李泊文,曹杰,陈静,董灵溪,娜吉玛,朱宏嘉,郝平,宁文彤,李萍,修庆,英壮,李依伊,田原,曹明华,王冠,马文波,马骏超;剧情,悬疑;5.0;14908;8011
冰川时代 Ice Age;卡洛斯·沙尔丹哈,克里斯·韦奇;雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞,杰克·布莱克;喜剧,动画,冒险;8.6;555109;53434
银河护卫队2 Guardians of the Galaxy Vol. 2;詹姆斯·古恩;克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔,范·迪塞尔,布莱德利·库珀,凯伦·吉兰,迈克尔·鲁克,庞·克莱门捷夫,伊丽莎白·德比茨基,肖恩·古恩,库尔特·拉塞尔,克里斯·沙利文,大卫·哈塞尔霍夫,西尔维斯特·史泰龙,杨紫琼;动作,科幻,冒险;8.0;423506;110141
芳华;冯小刚;黄轩,苗苗,钟楚曦,杨采钰,李晓峰,王天辰,王可如,隋源,张仁博,苏岩,张国立,赵立新;剧情,历史,战争;7.7;753536;231945
黑豹 Black Panther;瑞恩·库格勒;查德维克·博斯曼,露皮塔·尼永奥,迈克尔·B·乔丹,丹娜·奎里拉,马丁·弗瑞曼,丹尼尔·卡卢亚,利蒂希娅·赖特,温斯顿·杜克,斯特林·K·布朗,安吉拉·贝塞特,福里斯特·惠特克,安迪·瑟金斯,弗洛伦丝·卡松巴,约翰·卡尼,大卫·S·李,娜比娅·毕;动作,科幻,冒险;6.5;418660;116390
致命魔术 The Prestige;克里斯托弗·诺兰;休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩,丽贝卡·豪尔,斯嘉丽·约翰逊,大卫·鲍伊,安迪·瑟金斯,派珀·佩拉博,萨曼塔·马霍林,丹尼尔·戴维斯,吉姆·皮多克,克里斯托弗·尼姆,马克·瑞安,罗杰·里斯,杰米·哈里斯,罗恩·帕金斯,瑞奇·杰,安东尼·德·马克,冀朝理;剧情,悬疑,惊悚;8.9;771219;152070
7号房的礼物 7번방의 선물;李焕庆;柳承龙,朴信惠,郑镇荣,金正泰,吴达洙,朴元尚,郑满植,葛素媛;剧情,喜剧,家庭;8.9;493660;111451
一生一世;沈阳,贲放;任嘉伦,白鹿,此沙,骆明劼,王瑞欣,王悦伊,罗海琼,冯嘉怡,刘若谷;剧情;6.0;100479;45072
雷神3：诸神黄昏 Thor: Ragnarok;塔伊加·维迪提;克里斯·海姆斯沃斯,汤姆·希德勒斯顿,凯特·布兰切特,伊德里斯·艾尔巴,杰夫·高布伦,泰莎·汤普森,卡尔·厄本,马克·鲁弗洛,安东尼·霍普金斯,本尼迪克特·康伯巴奇,塔伊加·维迪提,瑞切尔·豪斯,克兰西·布朗,浅野忠信,雷·史蒂文森,扎克瑞·莱维,卢克·海姆斯沃斯,马特·达蒙,山姆·尼尔,夏洛特·尼克道,斯坦·李;动作,奇幻,冒险;7.4;384624;101936
捉妖记2;许诚毅;梁朝伟,白百何,井柏然,李宇春,杨祐宁,大鹏,吴君如,曾志伟,黄磊,柳岩,吴莫愁,伍嘉成,赵磊,谷嘉诚,彭楚粤,陈泽希,郭子凡,肖战,焉栩嘉,夏之光,姜超,娄艺潇,张俪;喜剧,动作,奇幻,古装;4.9;337045;108655
穿条纹睡衣的男孩 The Boy in the Striped Pajamas;马克·赫尔曼;阿萨·巴特菲尔德,维拉·法米加,卡拉·霍根,祖萨·霍尔,安贝尔·比蒂,拉斯洛·阿隆,大卫·休里斯,理查德·约翰逊,谢拉·汉考克,伊凡·弗雷贝利,贝拉·费斯彼姆,阿提拉·埃杰德,鲁伯特·弗兰德,大卫·海曼,吉姆·诺顿,杰克·塞隆,米哈利·绍鲍多什,泽索特·萨法尔·科夫卡,奥索利亚·茱莉娅·帕普;剧情,战争;9.2;485581;110351
乘风破浪;韩寒;邓超,彭于晏,赵丽颖,董子健,金士杰,易小星,张本煜,李荣浩,高华阳,李淳,孙伊涵,熊黎,李春嫒,潘米,小马达,金毛期期,孙启恒,孙强,彭菲茗,贾川西,张国庆,程诚,白珞力,方励,郭佳杰,冷海铭;剧情,喜剧;6.8;543442;169971
西游记之大圣归来;田晓鹏;张磊,林子杰,吴文伦,童自荣,刘九容,吴迪,刘北辰,赵乾景,周帅;剧情,动画,奇幻;8.3;629277;206641
人再囧途之泰囧;徐峥;徐峥,王宝强,黄渤,陶虹,谢楠,范冰冰;喜剧;7.5;724732;182336
重庆森林 重慶森林;王家卫;林青霞,金城武,梁朝伟,王菲,周嘉玲;剧情,爱情;8.8;716373;160213
怪兽电力公司 Monsters, Inc.;彼特·道格特,大卫·西尔弗曼,李·昂克里奇;约翰·古德曼,比利·克里斯托,玛丽·吉布斯,史蒂夫·布西密,詹姆斯·柯本,詹妮弗·提莉,鲍勃·彼德森,约翰·拉岑贝格,弗兰克·奥兹,丹尼尔·吉尔森,邦尼·亨特,杰克·安杰尔,塞缪尔·洛德·布莱克,史蒂夫·萨斯坎德;喜剧,动画,儿童,奇幻,冒险;8.8;593512;76356
误杀;柯汶利;肖央,谭卓,陈冲,姜皓文,秦沛,边天扬,许文姗,张熙然,施名帅,黄健玮,陈志朋;剧情,悬疑,犯罪;7.5;810903;255637
邪不压正;姜文;彭于晏,廖凡,姜文,周韵,许晴,泽田谦也,安地,史航,李梦,丁嘉丽,陈曦;剧情,喜剧,动作;7.0;653300;200225
雷神2：黑暗世界 Thor: The Dark World;阿兰·泰勒;克里斯·海姆斯沃斯,娜塔莉·波特曼,汤姆·希德勒斯顿,安东尼·霍普金斯,克里斯托弗·埃克莱斯顿,杰米·亚历山大,扎克瑞·莱维,雷·史蒂文森,浅野忠信,伊德里斯·艾尔巴,蕾妮·罗素,阿德沃尔·阿吉纽依-艾格拜吉,凯特·戴琳斯,斯特兰·斯卡斯加德,艾丽丝·克里奇,克里夫·罗素,乔纳森·霍华德,克里斯·奥多德,妲露拉·莱莉,奥菲利亚·拉维邦德,本尼西奥·德尔·托罗,斯坦·李;动作,奇幻,冒险;7.4;312444;66119
囧妈;徐峥;徐峥,黄梅莹,袁泉,郭京飞,黄景瑜,贾冰,高以翔,沈腾,宋小宝,黄渤,欧丽娅,陈奇,吴云芳,张建亚,吴竞,张芝华,唐群,徐玉兰,徐幸,陆燕芳,张翠翠,脑门额尔德尼,朱莉娜,刘泽星,薛晴,韩昊霖,郑颖娴,弗索夫·谢尔盖,杨峥,陶桃,崔大笨,潘启言,王彬,张勤,黄梓凌,杜凡昕之,李顺怡,阎虹宇,刘子瑞,谢尔比纳·甘纳,斯莫林·伊凡,张岩,邵巨宝,谢莱珍;喜剧;5.9;567959;200856
孤单又灿烂的神：鬼怪 쓸쓸하고 찬란하神 - 도깨비;李应福;孔刘,金高银,李栋旭,刘寅娜,陆星材,金所泫,金旻载,赵宇镇,李艾,崔雄;剧情;8.8;418042;132184
金刚川;管虎,郭帆,路阳;张译,吴京,李九霄,魏晨,邓超,欧豪,邱天,周思羽,刘显达,石昊正;剧情,战争;6.5;286794;113410
烈日灼心;曹保平;邓超,段奕宏,郭涛,王珞丹,吕颂贤,高虎,白柳汐,杜志国;剧情,悬疑,犯罪;8.2;569746;150417
三块广告牌 Three Billboards Outside Ebbing, Missouri;马丁·麦克唐纳;弗兰西斯·麦克多蒙德,伍迪·哈里森,山姆·洛克威尔,艾比·考尼什,卢卡斯·赫奇斯,彼特·丁拉基,约翰·浩克斯,卡赖伯·兰德里·琼斯,凯瑟琳·纽顿,凯瑞·康顿,泽利科·伊万内克,萨玛拉·维文,克拉克·彼得斯,尼克·瑟西,阿曼达·沃伦,玛拉雅·瑞沃拉·德鲁,布兰登·萨克斯顿,迈克尔·艾伦·米利甘;剧情,犯罪;8.7;744731;189331
1921;黄建新,郑大圣;黄轩,倪妮,王仁君,刘昊然,袁文康,祖峰,窦骁,张颂文,刘家祎,王俊凯,王源,欧豪,韩东君,张超,张云龙,胡先煦,陈坤,李晨,倪大红,田雨,谢孟伟,冯绍峰,刘诗诗,宋佳,宋轶,殷桃,安泽豪,袁泉,周也,欧阳娜娜,魏大勋,张雪迎,萱萱,埃里克·迪恩,乔什·怀特豪斯,奥田瑛二,白石隼也,池松壮亮,朱一龙,白宇,倪寒尽,许凯,张若昀,张建亚,赵露思,钟楚曦,雷佳音,郭子凡,欧阳卫熹,陈美伊,胡连馨,陈仟钰,夏梦,陈雨锶,俞灏明,王森,谷嘉诚,张宥浩,赵弈钦,刘畅,马天宇,史彭元,陈龙,韩昊霖,彭楚粤,王锵,刘冬沁,叶璇,佟瑞欣,于慧,曹骏,陶海,叶祖新,范世錡,于湉,白宇帆,张晓晨,李子峰,方逸伦,刘佩琦,张海宇,周游,生港帅,叶筱玮,吴希泽,刘帅,李殿尊,王天辰,此沙,达伦·格罗夫纳,托马斯·菲凯,刘泊潇,小爱,张洪睿,耿乐,叶火,潘斌龙,李感,罗泽楷,徐佳,高容方,刘恩佳,徐晓璐,刘哲尔,佟丽娅,佟大为,薛佳凝,张婧仪,包贝尔,张哲瀚;剧情,历史;6.7;152983;70619
死亡诗社 Dead Poets Society;彼得·威尔;罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克,乔西·查尔斯,盖尔·汉森,迪伦·库斯曼,阿勒隆·鲁杰罗,詹姆斯·沃特斯顿,诺曼·劳埃德,柯特伍德·史密斯,卡拉·贝尔韦尔,利昂·波纳尔,乔治·马丁,乔·奥菲耶里,马特·凯里,凯文·库尼,拉腊·弗林·鲍尔,亚历桑德拉·鲍尔斯,梅洛拉·沃尔特斯,帕梅拉·伯勒尔,约翰·库宁汉姆,迪布拉·穆尼,库尔特·莱特纳,凯瑟·斯内德,霍纳斯·斯蒂克洛瑞斯,杰米·肯尼迪;剧情;9.1;629838;148839
英雄本色;吴宇森;周润发,狄龙,张国荣,朱宝意,李子雄,田丰,吴宇森,曾江,成奎安,徐克,陈志辉;剧情,动作,犯罪;8.6;473831;74304
蚁人2：黄蜂女现身 Ant-Man and the Wasp;佩顿·里德;保罗·路德,伊万杰琳·莉莉,迈克尔·佩纳,汉娜·乔恩-卡门,沃尔顿·戈金斯,鲍比·坎纳瓦尔,朱迪·格雷尔,T.I.,大卫·达斯马齐连,艾比·莱德·弗特森,兰道尔·朴,米歇尔·菲佛,劳伦斯·菲什伯恩,迈克尔·道格拉斯,戈兰·卡斯蒂克,罗布·阿切尔,肖恩·克莱尔,本·戴维斯,迈克尔·瑟沃瑞斯,达克斯·格里芬,海莉·洛维特,玛德琳·麦格劳,蒂姆·海德克,布莱恩·赫斯基,朱莉娅·维拉,布莱恩·卢戈,托里·沃格尔,汤姆·夏普林,斯坦·李,约瑟夫·阿梅,安迪·阿尼斯,威廉·W·巴伯,玛塞拉·布拉吉奥,塞尔吉奥·布里奥内斯,乔·布卡罗三世,蒂莫西·卡尔,贾迈尔·钱伯斯,扎卡里·卡伯森,雅各布·埃文斯,米歇尔·毛,盖尔·甘布尔,克里斯·加恩,约翰·盖蒂尔,杰克·汉森,卡茜·亨德利;动作,科幻,冒险;7.3;420980;96274
超体 Lucy;吕克·贝松;斯嘉丽·约翰逊,摩根·弗里曼,崔岷植,阿马尔·维克德,朱利安·林希德-图特,皮鲁·埃斯贝克,安娜丽·提普顿,詹·奥利弗·施罗德,弗雷德里克·周,克莱尔·陈,塞德里克·舍瓦姆,沃尔夫冈·皮索尔斯,邵斯凡,保罗·陈,林暐恒,邢峰,徐灏翔,塞缪尔·丘林,李淳,吕克·贝松,高靖榕,克里斯多夫·泰克;动作,科幻;7.4;513462;127335
拯救大兵瑞恩 Saving Private Ryan;史蒂文·斯皮尔伯格;汤姆·汉克斯,汤姆·塞兹摩尔,爱德华·伯恩斯,巴里·佩珀,亚当·戈德堡,范·迪塞尔,吉奥瓦尼·瑞比西,杰瑞米·戴维斯,马特·达蒙,特德·丹森,保罗·吉亚玛提,丹尼斯·法里纳,马克斯·马蒂尼,丹兰·布鲁诺,丹尼尔·切尔奎拉,迪米特里·格里特萨斯,史蒂夫·格里芬,彼得·迈尔斯,亚当·肖,罗尔夫·萨克森,克里·约翰逊,洛克兰·艾肯,尚恩·约翰逊,莱尔德·曼辛托斯,安德鲁·斯科特,马修·夏普,文森特·沃尔什,约翰·沙拉恩,马丁·哈伯,罗非洛·迪格托勒,恩里奇·雷德曼,米歇尔·埃文斯,内森·菲利安,利兰·奥瑟,大卫·维格,瑞恩·赫斯特,哈威·普雷斯内尔,代尔·戴,布莱恩·科兰斯顿,大卫·沃尔,埃里克·罗兰,哈里逊·杨,凯思琳·拜荣,约翰·德·兰西,詹姆斯·恩布里,德里克·李,若昂·科斯塔·梅内塞斯,马克·施泰因迈尔;剧情,战争;9.1;582176;79310
金陵十三钗;张艺谋;克里斯蒂安·贝尔,倪妮,张歆怡,黄天元,韩熙庭,张逗逗,佟大为,曹可凡,渡部笃郎,黄海波,窦骁,聂远,高虎,秦昊,李玥敏,白雪,袁杨纯子,孙佳,朱良奇,小林成男,山中崇,保罗·施耐德,李纯,顾璇,周梦乔,周羽,邓莉,苏小妹,钱柳吟,叶清源,戴瑶君,沈俊然,李楚楚,金子欣,李瑞琦,谷艺璇,许佳丽,张照怡,王靖雯,谭逸敏,赵伊聪,来喜,奇道,王超北,王羽铮,李飞,王聪,项斌,郭晓明,涩谷天马,梶冈润一;剧情,历史,战争;8.3;629886;156769
恋恋笔记本 The Notebook;尼克·卡萨维蒂;瑞恩·高斯林,瑞秋·麦克亚当斯,吉娜·罗兰兹,詹姆斯·加纳,斯塔尔勒塔·杜波利斯,凯文·康诺利,希瑟·沃奎斯特,杰弗里·奈特,琼·艾伦,詹姆斯·麦斯登;剧情,爱情;8.6;597685;146243
乔家的儿女;张开宙;白宇,宋祖儿,毛晓彤,张晚意,周翊然,刘钧,周放,曲哲明,侯雯元,孙安可,王悦伊,孙伊涵,唐艺昕,李佳航,朱珠,刘琳,张佳宁;剧情,家庭;7.7;166350;59684
穆赫兰道 Mulholland Dr.;大卫·林奇;娜奥米·沃茨,劳拉·哈灵,安·米勒,贾斯汀·塞洛克斯,斯科特·科菲,梅利莎·乔治,布兰特·布里斯科,罗伯特·福斯特,凯瑟琳·汤,李·格兰特,比利·雷·赛勒斯,查德·艾微特,丽塔·塔格特,詹姆斯·凯伦,洛里·海瑞,安哲罗·巴达拉曼提,迈克尔·德·巴雷斯,马库斯·格雷厄姆,丹·哈达亚,马克·佩雷格里诺,蒙蒂·蒙哥马利,迈克尔·J·安德森;剧情,悬疑,惊悚;8.4;398325;117493
致命ID Identity;詹姆斯·曼高德;约翰·库萨克,雷·利奥塔,阿曼达·皮特,约翰·浩克斯,阿尔弗雷德·莫里纳,克里·杜瓦尔,约翰·C·麦金雷,威廉姆·李·斯科特,杰克·布塞,普路特·泰勒·文斯,瑞贝卡·德·莫妮,卡门·阿尔根齐亚诺,马绍尔·贝尔,莱拉·肯泽尔,马特·莱斯切尔,布莱特·罗尔,霍尔姆斯·奥斯本,弗雷德里克·科芬,乔·哈特,迈克尔·赫希,泰伦斯·伯尼·海恩斯;剧情,悬疑,惊悚;8.8;727327;142867
小萝莉的猴神大叔 Bajrangi Bhaijaan;卡比尔·汗;萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔,纳瓦祖丁·席迪圭,欧姆·普瑞,梅·维贾,席尔帕.舒克拉,拉杰什·沙玛,沙拉蒂·瑟斯纳,阿图·斯里瓦斯塔瓦,阿德南·萨米,马诺·巴克什;剧情,喜剧,动作;8.4;446979;116231
X特遣队：全员集结 The Suicide Squad;詹姆斯·古恩;玛格特·罗比,伊德里斯·艾尔巴,约翰·塞纳,乔尔·金纳曼,西尔维斯特·史泰龙,维奥拉·戴维斯,大卫·达斯马齐连,迈克尔·鲁克,杰·科特尼,彼得·卡帕尔迪,艾莉丝·布拉加,皮特·戴维森,华金·科西奥,胡安·迭戈·博托,斯托姆·瑞德,内森·菲利安,塔伊加·维迪提,史蒂夫·阿吉,肖恩·古恩,弗卢拉·博格,约翰·奥斯特兰德,黄美玲,丹妮拉·曼希沃,史蒂芬·布莱克哈特,詹尼佛·霍兰德,迪·布拉雷·贝克尔,雷·埃尔南德斯,雷纳尔多·法伯勒,乔希·文图拉,Gerardo Davila,米凯拉·霍沃,林恩·阿什,安德里娅·安德拉德,兰德尔·P·海文斯,迈克尔·艾伦·米利甘,特伦斯·罗斯摩尔,娜塔莉·萨福兰,詹姆斯·威廉·巴拉德,蒂莫西·卡尔,玛丽索尔·科雷亚,约翰·盖蒂尔,麦克斯威尔·海史密斯,洛伊德·考夫曼,迪索·拉莫斯,弗雷迪·史卓玛,维多利亚·佩吉·沃特金斯;喜剧,动作,科幻,冒险;8.0;220153;69883
灵媒 ร่างทรง;班庄·比辛达拿刚;纳瑞拉·库尔蒙科尔佩特,萨尼·乌托玛,邦松·纳卡普,Sirani Yankittikan,Yasaka Chaisorn,Arunee Wattana,Thanutphon Boonsang,Pakapol Srirongmuang,Akkaradech Rattanawong,Chatchawat Sanveang,Yossawat Sittiwong,Arnon Losiripanya,Klangchon Chuekham,Sayan Phiwchan,Sakchai Yukhachen;恐怖;6.4;117627;46597
逆局;庄绚维,陈冠仲;周渝民,朱轩洋,李铭顺,张榕容,刘亮佐,马念先,吴兴国,辛乐儿,黄迪扬,姜康哲,草爷,阳靓,曾敬骅,纪培慧,吴昆达,郑人硕,林鹤轩,张少怀,张书伟,夏腾宏,蔡灿得,钟瑶,陈家逵,阮安妮,纪殷泽,夏靖庭,陈诗雅,张耀仁,张毓晨,温升豪,曾珮瑜,陈妍霏,汤志伟,谢琼煖,罗北安,姚以缇,林予晞,李铭忠,陈婉婷,张翰;悬疑,犯罪;8.3;78362;26405
驾驶我的车 ドライブ・マイ・カー;滨口龙介;西岛秀俊,三浦透子,雾岛丽香,冈田将生,朴有林,金大永,袁子芸,安部聪子,吉田大八,猪股俊明,佩里·迪桑,安辉泰,松田弘子,山村崇子,岩濑亮,谷川昭一朗,西庆子,铃木咲;剧情;7.9;65433;27353
银河补习班;邓超,俞白眉;邓超,白宇,任素汐,王西,孙浠伦,李建义,梁超,邵兵,王戈,吴亚衡,魏尊,冯泽昂,吴京;剧情;6.2;344611;120970
请回答1988 응답하라 1988;申元浩;成东日,李一花,罗美兰,金成均,崔武成,金善映,柳慧英,李惠利,柳俊烈,高庚杓,朴宝剑,安宰弘,李东辉,崔胜元,金秀路,李美妍,金柱赫,全美善,李世英,金英玉,朴智允,李秀卿,金太勋,朴正民,高昌锡;剧情,喜剧,爱情;9.7;781472;261421
饮食男女 飲食男女;李安;郎雄,杨贵媚,吴倩莲,王渝文,张艾嘉,归亚蕾,赵文瑄,陈昭荣,陈捷文,卢金城,唐语谦,洪其德,王瑞,杜满生,王玨,陈妤,左正芬,许敬民,聂卓晶,丁仲;剧情,家庭;9.2;544591;136652
鬼子来了;姜文;姜文,香川照之,袁丁,姜宏波,丛志军,李丛喜,泽田谦也,李海滨,蔡卫东,陈述,陈莲梅,史建全,陈强,宫路佳具,吴大维,梶冈润一,石山雄大,述平,姜武;剧情,喜剧;9.3;555896;106579
敦刻尔克 Dunkirk;克里斯托弗·诺兰;菲恩·怀特海德,汤姆·格林-卡尼,杰克·劳登,哈里·斯泰尔斯,阿奈林·巴纳德,汤姆·哈迪,马克·里朗斯,巴里·基奥恩,基里安·墨菲,詹姆斯·达西,肯尼思·布拉纳,李·阿姆斯特朗,詹姆斯·布鲁尔,达米安·勃纳尔,布莱恩·威纳尔,哈利·理查森,艾略特·提特恩索,凯文·格思里,巴比·洛克伍德,米歇尔·贝尔,比利·豪尔,迈克尔·凯恩,约翰·诺兰,米兰达·诺兰;剧情,历史,战争;8.4;647353;178099
乱世佳人 Gone with the Wind;维克多·弗莱明,乔治·库克,山姆·伍德;费雯·丽,克拉克·盖博,奥利维娅·德哈维兰,托马斯·米切尔,芭芭拉·欧内尔,伊夫林·凯耶斯,安·卢瑟福德,乔治·里弗斯,弗莱德·克莱恩,海蒂·麦克丹尼尔斯,奥斯卡·波尔克,巴特弗莱·麦昆,维克托·乔里,埃弗雷特·布朗,霍华德·C·希克曼,艾丽西亚·瑞特,莱斯利·霍华德,兰德·布鲁克斯,卡洛尔·奈,劳拉·霍普·克鲁斯,埃迪·安德森,哈里·达文波特,利昂娜·罗伯特,简·达威尔,欧娜·满森,保罗·赫斯特,伊莎贝尔·朱尔,卡米·金·肯伦,艾瑞克·林登,J·M·克里根,沃德·邦德,莉莲·肯布尔-库珀;剧情,爱情,历史,战争;9.3;621569;139840
隐秘的角落;辛爽;秦昊,王景春,荣梓杉,史彭元,王圣迪,张颂文,刘琳,芦芳生,李梦,黄米依,李俊霆,穆丽燕,林鹏,陈朵怡,赵晖,刘妍,任洛敏,刘晨霞;剧情,悬疑,犯罪;8.8;984404;310323
狮子王 The Lion King;乔恩·费儒;唐纳德·格洛弗,阿尔法·伍达德,詹姆斯·厄尔·琼斯,切瓦特·埃加福,科甘-迈克尔·凯,塞斯·罗根,比利·艾希纳,碧昂丝,埃里克·安德烈,弗洛伦丝·卡松巴,约翰·卡尼,约翰·奥利弗,艾米·塞德丽丝;剧情,动画,冒险;7.2;334187;109972
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises;克里斯托弗·诺兰;克里斯蒂安·贝尔,汤姆·哈迪,安妮·海瑟薇,约瑟夫·高登-莱维特,玛丽昂·歌迪亚,加里·奥德曼,迈克尔·凯恩,摩根·弗里曼,朱诺·坦普尔,乔什·平茨,丹尼尔·逊亚塔,内斯特·卡博内尔,伯恩·戈曼,连姆·尼森,乔伊·金,艾丹·吉伦,基里安·墨菲,乔什·斯图沃特,马修·莫迪恩,本·门德尔森;剧情,动作,科幻,惊悚,犯罪;8.8;645041;136467
教父2 The Godfather: Part Ⅱ;弗朗西斯·福特·科波拉;阿尔·帕西诺,罗伯特·杜瓦尔,黛安·基顿,罗伯特·德尼罗,约翰·凯泽尔,塔莉娅·夏尔,李·斯特拉斯伯格,迈克尔·V·格佐,G•D•斯普拉德林,理查德·布赖特,加斯通·莫辛,汤姆·罗斯奎,布鲁诺·柯比,弗兰克·西维罗,弗朗西丝卡·德·萨维奥,摩甘娜金,玛丽亚娜·希尔,莱奥波多·特里耶斯泰,多米尼克·查尼斯,Amerigo Tot,特洛伊·多纳胡,约翰·阿普雷亚,乔·斯皮内尔,阿贝·维高达,吉亚尼·罗素,Maria Carta,菲伊·斯潘,哈利·戴恩·斯坦通,卡明·卡里迪,丹尼·爱罗,威廉·鲍尔斯,约瑟夫·德拉·索尔特,卡门·阿尔根齐亚诺,乔·罗·格里普,Ezio Flagello,凯瑟琳·贝勒,Saveria Mazzola,Tito Alba,彼得·多纳特,汤姆·达尔格伦,Phil Feldman,罗杰·科曼,伊凡·科尔,艾丽卡·约恩,Teresa Tirelli,詹姆斯·肯恩,Italia Coppola,罗曼·科波拉,索菲亚·科波拉,朱莉·格雷格,George Holmes,Buck Houghton,Shep Houghton,小杉正一,加里·库尔茨,Laura Lyons,理查德·麦瑟森,约翰·梅根纳,Harrison Ressler,Al Roberts,Hank Robinson,Filomena Spagnuolo;剧情,犯罪;9.2;483339;59731
贫民窟的百万富翁 Slumdog Millionaire;丹尼·博伊尔,洛芙琳·坦丹;戴夫·帕特尔,沙鲁巴·舒克拉,亚尼·卡普,拉詹德拉纳斯·祖特施,吉尼瓦·塔瓦尔,芙蕾达·平托,伊尔凡·可汗,爱资哈尔丁·穆罕默德·伊斯梅尔,阿什·马赫什·舍德卡,马赫什·曼杰瑞卡,麦活·米泰尔;剧情,爱情;8.6;681536;97771
后宫·甄嬛传;郑晓龙;孙俪,陈建斌,蔡少芬,李东学,蒋欣,陶昕然,斓曦,孙茜,张晓龙,刘雪华,李天柱,蓝盈莹,张雅萌,杨紫嫣,陈思斯,万美汐,热依扎,李宜娟,战菁一,唐艺昕,谭松韵,徐璐,毛晓彤,康福震,杨凯淳,刘钇彤,赵秦,王文杰,颖儿,郭萱,邬立朋,沈保平,梁艺馨,杨淇,何亚男,李佳璇,王一鸣;剧情,古装;9.3;522887;171678
